country_code,country_name,region,topic_group,avg_interest,n_queries
US,United States,Idaho,bdsm_general,79,1
US,United States,Idaho,spanking,65,3
US,United States,Idaho,otk,57,1
US,United States,Idaho,impact_play,33,1
US,United States,Idaho,adult_corporal_punishment,NA,1
US,United States,Idaho,domestic_discipline,NA,1
US,United States,Illinois,bdsm_general,78,1
US,United States,Illinois,otk,71,1
US,United States,Illinois,spanking,57.833333333333336,3
US,United States,Illinois,impact_play,39,1
US,United States,Illinois,domestic_discipline,19,1
US,United States,Illinois,adult_corporal_punishment,NA,1
US,United States,Indiana,bdsm_general,86,1
US,United States,Indiana,otk,83,1
US,United States,Indiana,spanking,78,3
US,United States,Indiana,impact_play,43,1
US,United States,Indiana,domestic_discipline,23,1
US,United States,Indiana,adult_corporal_punishment,NA,1
US,United States,Iowa,bdsm_general,78,1
US,United States,Iowa,spanking,70,3
US,United States,Iowa,otk,59,1
US,United States,Iowa,impact_play,37,1
US,United States,Iowa,adult_corporal_punishment,NA,1
US,United States,Iowa,domestic_discipline,NA,1
US,United States,Kansas,bdsm_general,84,1
US,United States,Kansas,spanking,78,3
US,United States,Kansas,impact_play,58,1
US,United States,Kansas,otk,47,1
US,United States,Kansas,domestic_discipline,28,1
US,United States,Kansas,adult_corporal_punishment,NA,1
US,United States,Kentucky,bdsm_general,89,1
US,United States,Kentucky,spanking,88,3
US,United States,Kentucky,otk,66,1
US,United States,Kentucky,impact_play,48,1
US,United States,Kentucky,domestic_discipline,14,1
US,United States,Kentucky,adult_corporal_punishment,NA,1
US,United States,Louisiana,bdsm_general,76,1
US,United States,Louisiana,impact_play,58,1
US,United States,Louisiana,spanking,56,3
US,United States,Louisiana,otk,47,1
US,United States,Louisiana,domestic_discipline,14,1
US,United States,Louisiana,adult_corporal_punishment,NA,1
US,United States,Maine,bdsm_general,91,1
US,United States,Maine,spanking,86,3
US,United States,Maine,otk,71,1
US,United States,Maine,impact_play,32,1
US,United States,Maine,adult_corporal_punishment,NA,1
US,United States,Maine,domestic_discipline,NA,1
US,United States,Maryland,bdsm_general,84,1
US,United States,Maryland,otk,69,1
US,United States,Maryland,spanking,63,3
US,United States,Maryland,impact_play,45,1
US,United States,Maryland,domestic_discipline,19,1
US,United States,Maryland,adult_corporal_punishment,NA,1
US,United States,Massachusetts,otk,78,1
US,United States,Massachusetts,bdsm_general,77,1
US,United States,Massachusetts,spanking,72.33333333333333,3
US,United States,Massachusetts,impact_play,47,1
US,United States,Massachusetts,domestic_discipline,23,1
US,United States,Massachusetts,adult_corporal_punishment,NA,1
US,United States,Michigan,bdsm_general,92,1
US,United States,Michigan,otk,78,1
US,United States,Michigan,spanking,69,3
US,United States,Michigan,impact_play,38,1
US,United States,Michigan,domestic_discipline,19,1
US,United States,Michigan,adult_corporal_punishment,NA,1
US,United States,Minnesota,bdsm_general,81,1
US,United States,Minnesota,otk,66,1
US,United States,Minnesota,spanking,65,3
US,United States,Minnesota,impact_play,39,1
US,United States,Minnesota,domestic_discipline,9,1
US,United States,Minnesota,adult_corporal_punishment,NA,1
US,United States,Mississippi,bdsm_general,66,1
US,United States,Mississippi,spanking,66,3
US,United States,Mississippi,impact_play,57,1
US,United States,Mississippi,otk,47,1
US,United States,Mississippi,adult_corporal_punishment,NA,1
US,United States,Mississippi,domestic_discipline,NA,1
US,United States,Missouri,bdsm_general,94,1
US,United States,Missouri,otk,80,1
US,United States,Missouri,spanking,65,3
US,United States,Missouri,impact_play,45,1
US,United States,Missouri,domestic_discipline,19,1
US,United States,Missouri,adult_corporal_punishment,NA,1
US,United States,Montana,bdsm_general,91,1
US,United States,Montana,spanking,73,3
US,United States,Montana,otk,57,1
US,United States,Montana,impact_play,34,1
US,United States,Montana,adult_corporal_punishment,NA,1
US,United States,Montana,domestic_discipline,NA,1
US,United States,Nebraska,bdsm_general,74,1
US,United States,Nebraska,spanking,70,3
US,United States,Nebraska,otk,54,1
US,United States,Nebraska,impact_play,39,1
US,United States,Nebraska,adult_corporal_punishment,NA,1
