country_code,country_name,date,topic_group,avg_interest,n_rows
GB,United Kingdom,2026-02-01,otk,25,1
GB,United Kingdom,2026-02-01,spanking,21.666666666666668,3
GB,United Kingdom,2026-02-01,adult_corporal_punishment,0,1
GB,United Kingdom,2026-02-01,domestic_discipline,0,1
GB,United Kingdom,2026-02-08,bdsm_general,76,1
GB,United Kingdom,2026-02-08,otk,26,1
GB,United Kingdom,2026-02-08,spanking,21.333333333333332,3
GB,United Kingdom,2026-02-08,impact_play,14,1
GB,United Kingdom,2026-02-08,adult_corporal_punishment,0,1
GB,United Kingdom,2026-02-08,domestic_discipline,0,1
GB,United Kingdom,2026-02-15,domestic_discipline,100,1
GB,United Kingdom,2026-02-15,bdsm_general,78,1
