scrape_date,source,country_code,country_name,region,query_term,timeframe,interest_score,interest_score_raw,hits,keyword,geo,gprop
2026-04-11,google_trends_region,US,United States,West Virginia,bdsm,today 12-m,98,98,98,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Alaska,bdsm,today 12-m,96,96,96,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Washington,bdsm,today 12-m,95,95,95,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Missouri,bdsm,today 12-m,94,94,94,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Michigan,bdsm,today 12-m,92,92,92,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Ohio,bdsm,today 12-m,92,92,92,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Montana,bdsm,today 12-m,91,91,91,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Wisconsin,bdsm,today 12-m,91,91,91,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Maine,bdsm,today 12-m,91,91,91,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Oklahoma,bdsm,today 12-m,90,90,90,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Wyoming,bdsm,today 12-m,89,89,89,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Kentucky,bdsm,today 12-m,89,89,89,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Nevada,bdsm,today 12-m,89,89,89,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Indiana,bdsm,today 12-m,86,86,86,bdsm,US,web
2026-04-11,google_trends_region,US,United States,New Hampshire,bdsm,today 12-m,85,85,85,bdsm,US,web
2026-04-11,google_trends_region,US,United States,New York,bdsm,today 12-m,84,84,84,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Kansas,bdsm,today 12-m,84,84,84,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Maryland,bdsm,today 12-m,84,84,84,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Arkansas,bdsm,today 12-m,84,84,84,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Tennessee,bdsm,today 12-m,83,83,83,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Virginia,bdsm,today 12-m,83,83,83,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Rhode Island,bdsm,today 12-m,82,82,82,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Pennsylvania,bdsm,today 12-m,81,81,81,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Minnesota,bdsm,today 12-m,81,81,81,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Alabama,bdsm,today 12-m,81,81,81,bdsm,US,web
2026-04-11,google_trends_region,US,United States,North Dakota,bdsm,today 12-m,81,81,81,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Arizona,bdsm,today 12-m,81,81,81,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Colorado,bdsm,today 12-m,79,79,79,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Idaho,bdsm,today 12-m,79,79,79,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Iowa,bdsm,today 12-m,78,78,78,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Illinois,bdsm,today 12-m,78,78,78,bdsm,US,web
2026-04-11,google_trends_region,US,United States,North Carolina,bdsm,today 12-m,77,77,77,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Massachusetts,bdsm,today 12-m,77,77,77,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Louisiana,bdsm,today 12-m,76,76,76,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Utah,bdsm,today 12-m,76,76,76,bdsm,US,web
2026-04-11,google_trends_region,US,United States,California,bdsm,today 12-m,76,76,76,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Georgia,bdsm,today 12-m,75,75,75,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Nebraska,bdsm,today 12-m,74,74,74,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Delaware,bdsm,today 12-m,73,73,73,bdsm,US,web
2026-04-11,google_trends_region,US,United States,South Carolina,bdsm,today 12-m,70,70,70,bdsm,US,web
